File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,,
3000,2,,,35015365480000,Magnolia,Medrano,8,36,6,N,10,W,SWSW,34.94539,98.21551,Caddo,OK,Rowe,Cement,3439,3447,Whole,,,3,,,,
3001,6,,,35037113980000,Magnolia,Jones Mary,4,36,18,N,7,E,NE SW,35.99289,96.52461,Creek,OK,Layton,Cushing,1548,1570,Whole,,,2.5,,,,
3001,2,,,35037113980000,Magnolia,Jones Mary,4,36,18,N,7,E,NE SW,35.99289,96.52461,Creek,OK,Bartlesville,Cushing,2859,2864,Whole,,,2.5,,,,
3002,9,,,35047008510000,Magnolia,Montgomery Betty,1,36,21,N,3,W,SENW,36.25588,97.47327,Garfield,OK,Marshall,Lucien North,5480,5515,Whole,,,2.5,,,,
3003,,,,35051003190000,Magnolia,Miller,1,28,3,N,5,W,NE SW,34.71493,97.71552,Grady,OK,,Knox,12,96,Chips ,,,2,,1-96 CHIP PIECES,,
3003,,,,35051003190000,Magnolia,Miller,1,28,3,N,5,W,NE SW,34.71493,97.71552,Grady,OK,,Knox,106,187,Chips ,,,2,,CHIP PIECES # 106-187,,
3004,1,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14045,14048.5,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,2,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14048.5,14051.5,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,3,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14051.5,14054,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,4,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14054,14057.5,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,5,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14057.5,14061,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,6,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14061,14065,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,7,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Woodford,,14065,14066,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,8,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Hunton,,14095,14099,Whole,3x3 Butt Box,Fair,2.5,,,,
3004,9,11,,35039200360000,Parker - Mobil,Jones Hunton,1,31,15,N,15,W,SENE,,,Custer,OK,Hunton,,14099,14102,Whole,3x3 Butt Box,Fair,2.5,,,,
